seed,lambda,ok,moves,trigger_overlap,time_s
2047,0.5,True,30,0.3667,2.85
2047,1.0,True,30,0.3667,3.707
2048,0.0,True,22,0.1364,0.151
2048,0.5,True,22,0.1364,0.292
2048,1.0,True,32,0.5625,6.075
2049,0.0,True,24,0.0,0.773
2049,0.5,True,24,0.0,2.439
2049,1.0,True,24,0.0,4.765
2050,0.0,True,30,0.1,12.96
2050,0.5,True,24,0.25,4.631
2050,1.0,True,25,0.52,6.469
2051,0.0,True,27,0.1111,0.88
2051,0.5,True,27,0.1111,1.282
2051,1.0,True,29,0.2759,2.943
2052,0.0,True,23,0.0,1.396
2052,0.5,True,24,0.2917,3.779
2052,1.0,True,24,0.2917,6.123
2053,0.0,False,,,33.819
2053,0.5,False,,,88.695
2053,1.0,True,33,0.1818,55.607
2054,0.0,False,,,34.446
2054,0.5,True,30,0.3333,8.994
2054,1.0,True,30,0.3333,8.089
2055,0.0,True,24,0.1667,1.814
2055,0.5,True,26,0.1154,1.686
2055,1.0,True,31,0.4839,0.691
2056,0.0,True,23,0.0,5.837
2056,0.5,True,26,0.3077,19.292
2056,1.0,True,30,0.3,6.206
2057,0.0,True,25,0.16,2.516
2057,0.5,True,24,0.125,1.006
2057,1.0,True,24,0.125,0.948
2058,0.0,False,,,34.249
2058,0.5,True,31,0.4516,30.5
2058,1.0,True,31,0.4516,14.196
2059,0.0,True,26,0.0,0.563
2059,0.5,True,26,0.1154,1.607
2059,1.0,True,28,0.3929,1.952
