seed,lambda,cap,ok,moves,trigger_overlap,time_s
2032,0.5,1,True,22,0.0,0.591
2032,0.5,2,True,22,0.0,0.641
2032,0.5,4,True,23,0.3478,0.564
2032,0.5,none,True,23,0.3478,0.542
2033,0.5,1,True,21,0.1905,0.726
2033,0.5,2,True,21,0.1905,0.729
2033,0.5,4,True,21,0.1905,0.782
2033,0.5,none,True,21,0.1905,0.754
2034,0.5,1,True,28,0.25,1.429
2034,0.5,2,True,28,0.25,1.423
2034,0.5,4,True,28,0.25,1.449
2034,0.5,none,True,28,0.25,1.359
2035,0.5,1,True,28,0.25,0.822
2035,0.5,2,True,28,0.25,0.844
2035,0.5,4,True,28,0.25,0.878
2035,0.5,none,True,28,0.25,0.858
2036,0.5,1,True,27,0.1111,0.317
2036,0.5,2,True,27,0.1111,0.326
2036,0.5,4,True,27,0.1111,0.167
2036,0.5,none,True,27,0.1111,0.172
2037,0.5,1,True,27,0.1111,0.308
2037,0.5,2,True,27,0.1111,0.322
2037,0.5,4,True,27,0.1111,0.189
2037,0.5,none,True,27,0.1111,0.195
2038,0.5,1,False,,,28.371
2038,0.5,2,False,,,27.1
2038,0.5,4,True,30,0.3333,9.656
2038,0.5,none,True,30,0.3333,9.577
2039,0.5,1,True,24,0.125,0.154
2039,0.5,2,True,24,0.125,0.161
2039,0.5,4,True,27,0.2222,0.699
2039,0.5,none,True,27,0.2222,0.701
2040,0.5,1,True,23,0.0,5.1
2040,0.5,2,True,23,0.0,5.31
2040,0.5,4,True,23,0.0,5.834
2040,0.5,none,True,23,0.0,5.728
2041,0.5,1,True,29,0.1034,4.555
2041,0.5,2,True,29,0.1034,4.982
2041,0.5,4,True,29,0.1034,5.161
2041,0.5,none,True,29,0.1034,5.08
2042,0.5,1,False,,,26.467
2042,0.5,2,False,,,26.482
2042,0.5,4,True,28,0.25,2.196
2042,0.5,none,True,28,0.25,2.161
2043,0.5,1,True,28,0.0,1.217
2043,0.5,2,True,28,0.0,1.253
2043,0.5,4,True,29,0.1034,1.383
2043,0.5,none,True,29,0.1034,1.383
2044,0.5,1,True,29,0.1379,3.496
2044,0.5,2,True,29,0.1379,3.828
2044,0.5,4,True,29,0.2069,1.943
2044,0.5,none,True,29,0.2069,1.921
2045,0.5,1,True,25,0.0,1.793
2045,0.5,2,True,25,0.0,1.748
2045,0.5,4,True,25,0.12,1.902
2045,0.5,none,True,25,0.12,1.959
2046,0.5,1,False,,,29.262
2046,0.5,2,False,,,27.17
2046,0.5,4,True,32,0.4062,9.701
2046,0.5,none,True,32,0.4062,9.557
2047,0.5,1,True,26,0.2692,0.72
2047,0.5,2,True,26,0.2692,0.738
2047,0.5,4,True,30,0.3667,0.843
2047,0.5,none,True,30,0.3667,0.823
2048,0.5,1,True,22,0.1364,0.088
2048,0.5,2,True,22,0.1364,0.087
2048,0.5,4,True,22,0.1364,0.087
2048,0.5,none,True,22,0.1364,0.087
2049,0.5,1,True,24,0.0,0.652
2049,0.5,2,True,24,0.0,0.705
2049,0.5,4,True,24,0.0,0.766
2049,0.5,none,True,24,0.0,0.727
2050,0.5,1,True,30,0.1,10.696
2050,0.5,2,True,24,0.25,1.294
2050,0.5,4,True,24,0.25,1.304
